program_name,cut_amount,percent_decrease,notes,,
other_agri,#VALUE!,21.00%,"Reduces funding for USDA’s statistical capabilities, while maintaining core Departmental analytical
functions, such as the funding necessary to complete the Census of Agriculture.
• Eliminates the duplicative Water and Wastewater loan and grant program, a savings of $498
million from the 2017 annualized CR level. Rural communities can be served by private sector
financing or other Federal investments in rural water infrastructure, such as the Environmental
Protection Agency’s State Revolving Funds.
• Reduces staffing in USDA’s Service Center Agencies to streamline county office operations, reflect
reduced Rural Development workload, and encourage private sector conservation planning.
• Reduces duplicative and underperforming programs by eliminating discretionary activities of the
Rural Business and Cooperative Service, a savings of $95 million from the 2017 annualized CR
level.
• Eliminates the McGovern-Dole International Food for Education program, which lacks evidence
that it is being effectively implemented to reduce food insecurity.",,
water-and-wastewater,498000000,100.00%,"Water and Wastewater loan and grant program,",,
rural-business,95000000,,Rural Business and Cooperative Service discretionary activities,,
mcgovern-dole,195000000,100.00%,McGovern-Dole International Food for Education program,,
other_commerce,#VALUE!,16.00%,"Consolidates the mission, policy support, and administrative functions of the Economics and
Statistics Administration within the Bureau of Economic Analysis, the U.S. Census Bureau, and
the Department of Commerce’s Office of the Secretary.
• Eliminates the Economic Development Administration, which provides small grants with limited
measurable impacts and duplicates other Federal programs, such as Rural Utilities Service
grants at the U.S. Department of Agriculture and formula grants to States from the Department
of Transportation. By terminating this agency, the Budget saves $221 million from the 2017
annualized CR level.
• Eliminates the Minority Business Development Agency, which is duplicative of other Federal,
State, local, and private sector efforts that promote minority business entrepreneurship including
Small Business Administration District Offices and Small Business Development Centers.
• Saves $124 million by discontinuing Federal funding for the Manufacturing Extension Partnership
(MEP) program, which subsidizes up to half the cost of State centers, which provide consulting
services to small- and medium-size manufacturers. By eliminating Federal funding, MEP centers
would transition solely to non-Federal revenue sources, as was originally intended when the
program was established.
• Zeroes out over $250 million in targeted National Oceanic and Atmospheric Administration
(NOAA) grants and programs supporting coastal and marine management, research, and education
including Sea Grant, which primarily benefit industry and State and local stakeholders.
These programs are a lower priority than core functions maintained in the Budget such as
surveys, charting, and fisheries management.",,
economic-development-administration,221000000,100.00%,"Eliminate the Economic Development Administration, which is designed to establish a foundation for sustainable job growth and the building of durable regional economies throughout the United States.",,
minority-business,35600000,100.00%,"Minority Business Development Agency, which works to support businesses owned by minorities and to create jobs.",,
manufacturing-extension,124000000,100.00%,"Manufacturing Extension Partnership program, which provides 50 percent of the funding for state-run centers that provide consulting services to small and medium-sized manufacturers",,
noaa,250000000,100.00%,"National Oceanic and Atmospheric Administration (NOAA) grants and programs that support coastal and marine management, research and education.",,
other_departmentofed,#VALUE!,13.00%,"Eliminates the $2.4 billion Supporting Effective Instruction State Grants program, which is
poorly targeted and spread thinly across thousands of districts with scant evidence of impact.
• Eliminates the 21st Century Community Learning Centers program, which supports beforeand
after-school programs as well as summer programs, resulting in savings of $1.2 billion from
the 2017 annualized CR level. The programs lacks strong evidence of meeting its objectives,
such as improving student achievement. 
• Eliminates the Federal Supplemental Educational Opportunity Grant program, a less well-targeted
way to deliver need-based aid than the Pell Grant program, to reduce complexity in
financial student aid and save $732 million from the 2017 annualized CR level.
• Reduces Federal Work-Study significantly and reforms the poorly-targeted allocation to ensure
funds go to undergraduate students who would benefit most.
• Provides $808 million for the Federal TRIO Programs and $219 million for GEAR UP, resulting
in savings of $193 million from the 2017 annualized CR level. Funding to TRIO programs is
reduced in areas that have limited evidence on the overall effectiveness in improving student
outcomes. The Budget funds GEAR UP continuation awards only, pending the completion of an
upcoming rigorous evaluation of a portion of the program.
• Eliminates or reduces over 20 categorical programs that do not address national needs, duplicate
other programs, or are more appropriately supported with State, local, or private funds, including
Striving Readers, Teacher Quality Partnership, Impact Aid Support Payments for Federal
Property, and International Education programs.",,
